DEB [20260702-15:02:09.948] thr=1   paramiko.transport: starting thread (client mode): 0xd4d7ec90
DEB [20260702-15:02:09.949] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_5.0.0
DEB [20260702-15:02:10.156] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_10.2p1 Ubuntu-2ubuntu3.2
INF [20260702-15:02:10.156] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_10.2p1)
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: kex algos: mlkem768x25519-sha256, sntrup761x25519-sha512, sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, ext-info-s, kex-strict-s-v00@openssh.com
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-gcm@openssh.com, aes256-gcm@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-gcm@openssh.com, aes256-gcm@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: client lang: <none>
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: server lang: <none>
DEB [20260702-15:02:10.158] thr=1   paramiko.transport: kex follows: False
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: Strict kex mode: True
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: Compression: none
DEB [20260702-15:02:10.159] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20260702-15:02:10.524] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20260702-15:02:10.524] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20260702-15:02:10.524] thr=1   paramiko.transport: Switch to new keys ...
DEB [20260702-15:02:10.524] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20260702-15:02:10.524] thr=2   paramiko.transport: Adding ssh-ed25519 host key for 3.25.115.39: b'8cc0ade8d2bb4e550949807702f42f35'
DEB [20260702-15:02:10.525] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ssh-ed25519@openssh.com,sk-ecdsa-sha2-nistp256@openssh.com,rsa-sha2-512,rsa-sha2-256', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20260702-15:02:10.525] thr=2   paramiko.transport: Trying SSH key b'7d3775acdbbd05d14fcfb205625b1590'
DEB [20260702-15:02:11.077] thr=1   paramiko.transport: userauth is OK
DEB [20260702-15:02:11.077] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260702-15:02:11.077] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:11.077] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ssh-ed25519@openssh.com', 'sk-ecdsa-sha2-nistp256@openssh.com', 'rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:11.077] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20260702-15:02:11.466] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:11.467] thr=2   paramiko.transport: Trying SSH agent key b'71fb3af89c89840e4a3d73239b1e08c2'
DEB [20260702-15:02:11.608] thr=1   paramiko.transport: userauth is OK
INF [20260702-15:02:11.860] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:11.860] thr=2   paramiko.transport: Trying SSH agent key b'f632eb5a8b54aac7617dd87d24ce3100'
DEB [20260702-15:02:12.001] thr=1   paramiko.transport: userauth is OK
DEB [20260702-15:02:12.001] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260702-15:02:12.001] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:12.001] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ssh-ed25519@openssh.com', 'sk-ecdsa-sha2-nistp256@openssh.com', 'rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:12.001] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20260702-15:02:12.265] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:12.378] thr=2   paramiko.transport: Trying discovered key b'f632eb5a8b54aac7617dd87d24ce3100' in /home/naveen/.ssh/id_rsa
DEB [20260702-15:02:12.517] thr=1   paramiko.transport: userauth is OK
DEB [20260702-15:02:12.518] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260702-15:02:12.518] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:12.518] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ssh-ed25519@openssh.com', 'sk-ecdsa-sha2-nistp256@openssh.com', 'rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:12.518] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20260702-15:02:12.772] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:12.773] thr=2   paramiko.transport: Trying discovered key b'71fb3af89c89840e4a3d73239b1e08c2' in /home/naveen/.ssh/id_ed25519
DEB [20260702-15:02:13.022] thr=1   paramiko.transport: userauth is OK
INF [20260702-15:02:13.276] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:13.412] thr=3   paramiko.transport: starting thread (client mode): 0xd52eacc0
DEB [20260702-15:02:13.412] thr=3   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_5.0.0
DEB [20260702-15:02:13.644] thr=3   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_10.2p1 Ubuntu-2ubuntu3.2
INF [20260702-15:02:13.644] thr=3   paramiko.transport: Connected (version 2.0, client OpenSSH_10.2p1)
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: === Key exchange possibilities ===
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: kex algos: mlkem768x25519-sha256, sntrup761x25519-sha512, sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, ext-info-s, kex-strict-s-v00@openssh.com
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-gcm@openssh.com, aes256-gcm@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-gcm@openssh.com, aes256-gcm@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr
